Word,Length,Frequency
leagues,7,1
learn,5,1
leave,5,2
left,4,5
length,6,2
lesser,6,2
lest,4,1
let,3,3
levied,6,1
liberties,9,1
liberty,7,3
library,7,1
lies,4,1
life,4,5
lifeless,8,1
light,5,2
lightens,8,1
like,4,7
likewise,8,1
limit,5,1
live,4,3
lived,5,1
lives,5,1
loath,5,1
long,4,2
longer,6,1
look,4,1
looks,5,1
lord,4,2
lords,5,1
lose,4,2
loss,4,1
love,4,2
loved,5,1
luce,4,1
luciana,7,12
made,4,4
maid,4,1
make,4,2
makes,5,1
making,6,1
male,4,1
males',6,1
man,3,5
manners,7,1
many,4,2
marked,6,1
marks,5,6
marks?,6,1
marriage,8,1
marry,5,1
mart,4,3
marts,5,1
marvel,6,1
mast,4,2
master,6,4
master?,7,1
masters,7,1
mate,4,1
maw,3,1
may,3,4
me,2,26
me?,3,2
mean,4,3
meaning?,8,1
meanly,6,1
means,5,1
meat,4,2
meek,4,1
meet,4,2
melancholy,10,1
men,3,2
merchant,8,13
merchants,9,2
merciless,9,1
merrier,7,1
merry,5,2
messenger,9,2
methinks,8,1
michael,7,1
midst,5,1
might,5,1
mighty,6,1
mind,4,2
mind?,5,1
minds,5,1
mine,4,4
misfortunes,11,1
mishap,6,1
mishaps,7,1
mistress,8,5
mistress',9,3
money,5,8
money?,6,1
months,6,1
more,4,8
more?,5,1
mortal,6,1
mother,6,3
motions,7,1
mountebanks,11,1
mourned,7,1
mowat,5,1
much,4,3
must,4,2
my,2,50
myself,6,3
name--,6,1
names,5,1
native,6,1
nature,6,1
nay,3,5
neither,7,1
nell,4,1
never,5,1
nigh,4,1
niles,5,1
nimble,6,1
no,2,10
none,4,1
none:,5,1
nor,3,1
not,3,28
not:,4,1
nothing,7,1
now,3,8
now?,4,1
o,1,3
o',2,2
o'clock,7,2
o'erraught,10,1
oath,4,1
obedient,8,1
obey,4,1
obscured,8,1
ocean,5,1
of,2,108
off,3,1
offended,8,1
offense,7,1
officer,7,2
officers,8,1
oft,3,1
often,5,1
old,3,2
on,2,5
one,3,4
or,2,7
other,5,7
otherwhere?,11,1
our,3,16
ours,4,1
ourselves,9,3
out,3,4
outrage,7,1
owes,4,1
own,3,4
pain,4,1
pardon,6,2
parents,7,1
part,4,1
partial,7,1
passed,6,1
pate,4,2
patience,8,3
